n,checks,scaled,exact_risk,asymptotic_risk
16,0,-2.2384631517416906,0.9940461221002406,0.9301344360074517
16,1,-1.9884631517416906,0.979882966782738,0.9052161789152924
16,2,-1.7384631517416906,0.9519922293767434,0.8742937733433628
16,3,-1.4884631517416906,0.9083458598518599,0.8369480047911908
16,4,-1.2384631517416906,0.8500524333268855,0.7930522961882779
16,5,-0.9884631517416906,0.7805627546383704,0.7428393999140676
16,6,-0.7384631517416906,0.7043831864836017,0.686938212228632
16,7,-0.48846315174169064,0.6259669115879075,0.6263707522868047
16,8,-0.23846315174169064,0.5490369678602862,0.5625046731180046
16,9,0.011536848258309362,0.4763163757054306,0.49696357376815725
16,10,0.26153684825830936,0.40953552067662446,0.4315045140283896
16,11,0.5115368482583094,0.34958497744113204,0.3678779636205494
16,12,0.7615368482583094,0.2967183741375092,0.30768862578372463
16,13,1.0115368482583094,0.2507494889035651,0.25227541422073474
16,14,1.2615368482583094,0.21121763730812615,0.2026253700895856
16,15,1.5115368482583094,0.17751396000777128,0.15933029365537482
16,16,1.7615368482583094,0.14897095810676686,0.12258769011380771
16,17,2.0115368482583094,0.124921672558984,0.09224082216100377
16,18,2.2615368482583094,0.10473576074747654,0.06784753426067155
16,19,2.5115368482583094,0.08783904540980464,0.0487648567634214
16,20,2.7615368482583094,0.07372186827492103,0.03423635720679786
16,21,3.0115368482583094,0.06194027717163257,0.02347134111719931
16,22,3.2615368482583094,0.05211293421469125,0.015708493782533643
16,23,3.5115368482583094,0.04391572407818581,0.010260459558508206
16,24,3.7615368482583094,0.03707536088272292,0.0065393624570101805
16,25,4.011536848258309,0.031362805173334424,0.00406584747260484
16,26,4.261536848258309,0.026586966777236487,0.0024656616231097635
16,27,4.511536848258309,0.022588945982433984,0.0014581765701140728
16,28,4.761536848258309,0.01923692229737324,0.0008408441705068026
64,12,-2.9769263034833813,0.9951516297813668,0.9752339789745944
64,13,-2.8519263034833813,0.9927075160042365,0.97004913855012
64,14,-2.7269263034833813,0.9893543860019232,0.9639945646191349
64,15,-2.6019263034833813,0.9848822835227884,0.9569722561213726
64,16,-2.4769263034833813,0.9790718515393513,0.9488827064028311
64,17,-2.3519263034833813,0.9717037022883487,0.9396268433850998
64,18,-2.2269263034833813,0.962568776587232,0.9291082512581114
64,19,-2.1019263034833813,0.9514789303858155,0.9172356348085413
64,20,-1.9769263034833813,0.9382769633225121,0.9039254713973692
64,21,-1.8519263034833813,0.9228453640067965,0.8891047800237367
64,22,-1.7269263034833813,0.9051131758172148,0.8727139228237487
64,23,-1.6019263034833813,0.8850605640179661,0.8547093427492325
64,24,-1.4769263034833813,0.8627208657428894,0.8350661330139861
64,25,-1.3519263034833813,0.838180105375981,0.813780330036656
64,26,-1.2269263034833813,0.8115741391861029,0.7908708227219232
