schedule,replicates,mc_mean,mc_se,exact_mean,z_error
early,50000,0.29523625,0.001973303847556236,0.29765637258258226,-1.2264317963902998
spread,50000,0.6937925,0.0013935487714603209,0.6919347686788788,1.3330938673746378
late,50000,0.4575525,0.00035178710885761454,0.4579375361499571,-1.0945146660077034
