n,i0,deterministic_budget,risk_at_deterministic,exact_95_budget,asymptotic_95_budget,risk_at_075n
16,14,9,0.4763163757054306,23,18.926663101667796,0.2967183741375092
64,56,36,0.484283986921212,60,55.761031417269116,0.17258328866090222
256,224,144,0.48313260913206557,187,183.15288369027235,0.03366825238510286
1024,896,574,0.48981756292824824,657,652.8290508034811,0.0001417423476519599
4096,3584,2293,0.49548562982610617,2456,2451.751235298708,2.1545038291780457e-13
