peak,epsilon,fuel
0.112,0.0,10.260908787471987
0.11264406779661017,0.0,7.654203567425318
0.11328813559322035,0.0,6.3230701158885
0.11393220338983051,0.0,5.4838209634037085
0.11457627118644068,0.0,4.894387706357765
0.11522033898305085,0.0,4.452075653641867
0.11586440677966102,0.0,4.104920052567519
0.11650847457627118,0.0,3.82344502364532
0.11715254237288136,0.0,3.589527726653931
0.11779661016949153,0.0,3.391334987606225
0.11844067796610169,0.0,3.2207712200415504
0.11908474576271186,0.0,3.0720872296443336
0.11972881355932204,0.0,2.941073467224217
0.1203728813559322,0.0,2.8245681503704017
0.12101694915254238,0.0,2.720144650183255
0.12166101694915255,0.0,2.625905738075412
0.12230508474576271,0.0,2.5403440564128292
0.12294915254237287,0.0,2.4622450207139424
0.12359322033898305,0.0,2.390617706651164
0.12423728813559322,0.0,2.3246446674173282
0.12488135593220338,0.0,2.263644846507232
0.12552542372881356,0.0,2.207045731869904
0.12616949152542373,0.0,2.154362149198688
0.1268135593220339,0.0,2.10517990230541
0.12745762711864406,0.0,2.0591430042601724
0.12810169491525425,0.0,2.015943604183451
0.12874576271186441,0.0,1.9753139624499654
0.12938983050847458,0.0,1.937019999927457
0.13003389830508474,0.0,1.9008560692231415
0.1306779661016949,0.0,1.866640683693388
0.13132203389830507,0.0,1.8342130037507216
0.13196610169491524,0.0,1.8034299268826828
0.13261016949152543,0.0,1.7741636626319148
0.1332542372881356,0.0,1.746299699932468
0.13389830508474576,0.0,1.7197350940070337
0.13454237288135593,0.0,1.6943770151717779
0.1351864406779661,0.0,1.6701415135653048
0.13583050847457626,0.0,1.646952462882422
0.13647457627118645,0.0,1.6247406532852406
0.1371186440677966,0.0,1.6034430092513872
0.13776271186440678,0.0,1.5830019125494086
0.13840677966101694,0.0,1.5633646140665882
0.1390508474576271,0.0,1.5444827210513257
0.13969491525423727,0.0,1.5263117486218907
0.14033898305084747,0.0,1.5088107262507071
0.14098305084745763,0.0,1.491941851448023
0.1416271186440678,0.0,1.475670184109613
0.14227118644067796,0.0,1.4599633760143957
0.14291525423728813,0.0,1.4447914308020708
0.1435593220338983,0.0,1.4301264904616466
0.14420338983050845,0.0,1.4159426449456358
0.14484745762711865,0.0,1.4022157620133155
0.1454915254237288,0.0,1.388923334816682
0.14613559322033898,0.0,1.3760443450882496
0.14677966101694914,0.0,1.3635591400821885
0.1474237288135593,0.0,1.351449321668083
0.1480677966101695,0.0,1.33969764618749
0.14871186440677966,0.0,1.3282879338634448
0.14935593220338983,0.0,1.3172049867070794
0.15,0.0,1.306434513997756
0.155,0.0,1.2320956303041766
0.16353535353535353,0.0,1.1339041330324373
0.17207070707070707,0.0,1.0600164640376015
0.1806060606060606,0.0,1.0022694717764444
0.18914141414141414,0.0,0.9558219762874685
0.19767676767676767,0.0,0.9176103865569185
0.2062121212121212,0.0,0.8855963808883233
0.21474747474747474,0.0,0.8583685325606989
0.22328282828282828,0.0,0.8349171014845473
0.2318181818181818,0.0,0.8144998207084588
0.24035353535353535,0.0,0.796558351103998
0.24888888888888888,0.0,0.7806643375011837
0.25742424242424244,0.0,0.7664834736861224
0.26595959595959595,0.0,0.7537509101050749
0.27449494949494946,0.0,0.7422540234336158
0.283030303030303,0.0,0.7318200914905827
0.2915656565656566,0.0,0.7223073133652664
0.3001010101010101,0.0,0.7135981583771995
0.3086363636363636,0.0,0.7055943665321587
0.31717171717171716,0.0,0.698213139801616
0.3257070707070707,0.0,0.6913842051021916
0.33424242424242423,0.0,0.6850475241924772
0.34277777777777774,0.0,0.679151489732392
0.3513131313131313,0.0,0.6736514909302403
0.35984848484848486,0.0,0.668508763153519
0.36838383838383837,0.0,0.6636894578672831
0.3769191919191919,0.0,0.6591638850867434
0.38545454545454544,0.0,0.6549058920539829
0.393989898989899,0.0,0.650892350334102
0.4025252525252525,0.0,0.6471027298394502
0.411060606060606,0.0,0.6435187430333789
0.41959595959595963,0.0,0.6401240461601321
0.42813131313131314,0.0,0.6369039870959528
0.43666666666666665,0.0,0.6338453915344016
0.44520202020202015,0.0,0.6309363808631947
0.4537373737373738,0.0,0.6281662163755273
0.4622727272727273,0.0,0.6255251654708279
0.4708080808080808,0.0,0.6230043863014909
0.4793434343434343,0.0,0.6205958279609116
0.4878787878787879,0.0,0.6182921438200836
0.4964141414141414,0.0,0.6160866160325067
0.5049494949494949,0.0,0.613973089561258
0.5134848484848484,0.0,0.6119459143539855
0.522020202020202,0.0,0.609999894513947
0.5305555555555556,0.0,0.6081302434978524
0.5390909090909091,0.0,0.606332544521928
0.5476262626262626,0.0,0.6046027154824098
0.5561616161616162,0.0,0.6029369778004414
0.5646969696969697,0.0,0.6013318286879561
0.5732323232323232,0.0,0.5997840164036822
0.5817676767676767,0.0,0.5982905181293893
0.5903030303030303,0.0,0.5968485201479321
0.5988383838383838,0.0,0.5954554000481622
0.6073737373737373,0.0,0.5941087107187192
0.6159090909090909,0.0,0.592806165924144
0.6244444444444445,0.0,0.5915456272836043
0.632979797979798,0.0,0.5903250924954905
0.6415151515151515,0.0,0.5891426846708656
0.650050505050505,0.0,0.5879966426557197
0.6585858585858586,0.0,0.5868853122366208
0.6671212121212121,0.0,0.585807138137012
0.6756565656565656,0.0,0.5847606567223819
0.6841919191919192,0.0,0.5837444893420616
