model,contrast,mean,ci_low,ci_high,confidence,tasks
gpt-4.1-mini-2025-04-14,early-spread,-0.2604166666666667,-0.5434244791666666,0.034722222222222224,0.9875,18
gpt-4.1-mini-2025-04-14,late-spread,-0.1423611111111111,-0.33161892361111106,0.07467447916666793,0.9875,18
gpt-4.1-nano-2025-04-14,early-spread,0.09027777777777778,-0.07814670138888886,0.22916666666666666,0.9875,18
gpt-4.1-nano-2025-04-14,late-spread,-0.11805555555555555,-0.2951388888888889,0.06597222222222222,0.9875,18
